train_acc,train_loss,val_acc,val_loss
0.031726315789473686,4.3397784,0.05200000000000001,4.1032743
0.0733684210526316,3.991114,0.1076,3.818182
0.12031578947368422,3.7338722,0.1448,3.5658915
0.15854736842105263,3.4969819,0.17319999999999997,3.396516
0.18890526315789474,3.3137236,0.204,3.2299747
0.2132,3.1773825,0.2348,3.0970821
0.23292631578947368,3.0734854,0.2504,2.9904883
0.25338947368421055,2.9494784,0.2768,2.8928375
0.2741894736842105,2.8568225,0.28200000000000003,2.893012
0.28970526315789474,2.7731187,0.3096,2.74457
0.30705263157894735,2.6963415,0.31639999999999996,2.7180233
0.3189263157894737,2.6360762,0.3344,2.6145794
0.32976842105263154,2.5868506,0.32280000000000003,2.6341844
0.3411578947368421,2.526703,0.3488,2.6282465
0.3507789473684211,2.4861379,0.35239999999999994,2.4797378
0.36252631578947364,2.443266,0.36119999999999997,2.4885798
0.36787368421052635,2.4026492,0.36519999999999997,2.456967
0.37513684210526316,2.3679118,0.3676,2.459993
0.38256842105263156,2.3349855,0.37799999999999995,2.4839516
0.3923578947368421,2.2950957,0.3836,2.428002
0.39762105263157904,2.270755,0.3839999999999999,2.3239253
0.4011789473684211,2.2492073,0.38280000000000003,2.3752227
0.4066526315789474,2.2186308,0.39280000000000004,2.3254943
0.40995789473684213,2.199839,0.39160000000000006,2.3334162
0.4152421052631579,2.170954,0.39640000000000003,2.330867
0.4253684210526316,2.1444635,0.374,2.3450348
0.42326315789473684,2.1403944,0.3992,2.292592
0.4323578947368421,2.1100698,0.398,2.3202155
0.43884210526315787,2.0865967,0.41240000000000004,2.2410216
0.4402736842105264,2.0757425,0.4268,2.244111
0.44292631578947367,2.058267,0.41120000000000007,2.2182155
0.4463157894736842,2.0396187,0.42519999999999997,2.192781
0.4522105263157895,2.0185518,0.42599999999999993,2.1895843
0.4576842105263158,2.0022733,0.4292,2.1669285
0.4594736842105263,1.9905221,0.42239999999999994,2.1980298
0.46467368421052635,1.968233,0.42480000000000007,2.1696978
0.46719999999999995,1.9606888,0.44079999999999997,2.129256
0.4673263157894737,1.9568082,0.4364,2.126961
0.46964210526315786,1.9407561,0.4352,2.1465292
0.47172631578947366,1.9268149,0.4348,2.1759799
0.47597894736842106,1.9134868,0.4391999999999999,2.1055458
0.4796631578947369,1.898365,0.4336,2.14788
0.4809263157894737,1.888392,0.44199999999999995,2.121276
0.48503157894736837,1.8797507,0.44799999999999995,2.1123362
0.4871157894736842,1.874451,0.44439999999999996,2.141501
0.4893894736842105,1.8590177,0.45039999999999997,2.0957086
0.49252631578947365,1.8529264,0.442,2.1239822
0.4946526315789474,1.8400077,0.45280000000000004,2.092231
0.4949052631578947,1.8296268,0.44559999999999994,2.1053123
0.4987578947368422,1.8223156,0.4464,2.0888588
0.49968421052631584,1.8116517,0.45439999999999997,2.071678
0.49924210526315793,1.8067945,0.44520000000000004,2.12954
0.5022947368421052,1.8004813,0.46760000000000007,2.0411305
0.5061473684210526,1.7859099,0.4496,2.0656352
0.5065263157894737,1.7759402,0.4632,2.0401194
0.5081473684210527,1.7724842,0.4768,1.9997231
0.5121894736842105,1.760669,0.4644,1.9960122
0.5136842105263157,1.7558,0.4664,2.065648
0.5158736842105264,1.7502708,0.47,2.0348268
0.5158315789473684,1.7475704,0.47479999999999994,1.9953771
0.5164631578947368,1.7384201,0.4668,2.0404139
0.5193052631578947,1.7257636,0.46120000000000005,2.020779
0.521242105263158,1.7207396,0.46799999999999997,2.0761373
0.5227789473684211,1.7185687,0.4668,2.0072927
0.5266526315789474,1.7084786,0.47319999999999995,1.9966805
0.5273263157894738,1.6999314,0.47159999999999996,2.0177765
0.5273894736842105,1.6986778,0.466,1.9897017
0.5267578947368421,1.6961656,0.46680000000000005,2.0075445
0.5298947368421053,1.6834472,0.47279999999999994,1.9921355
0.534021052631579,1.6774917,0.47680000000000006,2.0133033
0.5349263157894738,1.6668574,0.4708,1.9924356
0.5335368421052632,1.6718388,0.4732,1.9595355
0.5366947368421052,1.6623287,0.47480000000000006,1.9906887
0.5346736842105263,1.6627637,0.472,1.9843767
0.5392421052631579,1.6591545,0.47480000000000006,1.9692951
0.54,1.6504862,0.48200000000000004,1.9655919
0.5393894736842106,1.6421986,0.484,1.9598438
0.5386315789473684,1.6478716,0.48800000000000004,1.9546565
0.5417052631578947,1.6458637,0.48440000000000005,1.9564396
0.5433263157894738,1.6418142,0.48080000000000006,1.956962
0.5430105263157895,1.6277452,0.49080000000000007,1.9499265
0.5439368421052632,1.6300403,0.48479999999999995,1.9828324
0.5451578947368422,1.6227598,0.4792,1.9562199
0.5449473684210526,1.6206332,0.48239999999999994,1.9526242
0.5448,1.6210511,0.4832,1.9565526
0.5461473684210527,1.6182309,0.48120000000000007,1.9634213
0.5489894736842105,1.6101108,0.4828,1.9374251
0.5469894736842105,1.6152573,0.4832,1.9408748
0.5483157894736843,1.6113434,0.4852,1.9318537
0.5481894736842107,1.6045092,0.4816,1.9405856
0.5502947368421053,1.605682,0.4828,1.9464656
0.5491578947368422,1.6014649,0.4892,1.942799
0.5504631578947369,1.6015625,0.48440000000000005,1.9467527
0.5502526315789473,1.6013325,0.4868,1.939647
0.5502947368421053,1.6072434,0.4836,1.9402955
0.5492421052631579,1.5989542,0.4844,1.9383322
0.5529684210526316,1.598806,0.4832,1.9400138
0.5535157894736843,1.5927474,0.48560000000000003,1.9494977
0.5522526315789473,1.5954975,0.478,1.9410058
0.5527578947368421,1.5963831,0.4832,1.938972
